llm_model_name,embedding_model_name,avg_faithfulness,avg_answer_relevancy,avg_context_relevancy,avg_correctness,avg_time_elapsed,avg_generated_words,num_evaluated_questions
antoniprzybylik/llama-pllum:8b,Qwen/Qwen3-Embedding-4B,,,,,0.0,,5
antoniprzybylik/llama-pllum:8b,infly/inf-retriever-v1-1.5b,0.4,0.5,0.775,,63.62603831291199,29.0,5
antoniprzybylik/llama-pllum:8b,sentence-transformers/all-MiniLM-L6-v2,0.4,0.2,0.75,,40.5973744392395,12.6,5
antoniprzybylik/llama-pllum:8b,sentence-transformers/all-roberta-large-v1,0.2,0.2,0.725,,44.86821646690369,23.8,5
antoniprzybylik/llama-pllum:8b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.4,0.5,0.7,,72.11314768791199,58.2,5
deepseek-r1:7b,Qwen/Qwen3-Embedding-4B,,,,,0.0,,5
deepseek-r1:7b,infly/inf-retriever-v1-1.5b,1.0,0.6,0.775,,13.152343273162842,130.0,5
deepseek-r1:7b,sentence-transformers/all-MiniLM-L6-v2,0.6,0.8,0.75,,10.190476655960083,143.4,5
deepseek-r1:7b,sentence-transformers/all-roberta-large-v1,0.8,0.8,0.775,,9.354534149169922,133.2,5
deepseek-r1:7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,1.0,0.9,0.655,,15.62754292488098,235.4,5
llama3.2:3b,Qwen/Qwen3-Embedding-4B,0.6,0.8,0.725,,12.255779647827149,38.6,5
llama3.2:3b,infly/inf-retriever-v1-1.5b,1.0,0.8,0.775,,12.536649560928344,72.6,5
llama3.2:3b,sentence-transformers/all-MiniLM-L6-v2,0.6,0.9,0.78,,9.243790340423583,45.6,5
llama3.2:3b,sentence-transformers/all-roberta-large-v1,0.6,0.8,0.75,,8.022135734558105,45.0,5
llama3.2:3b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8,0.9,0.63,,11.868989419937133,63.2,5
qwen3:8b,Qwen/Qwen3-Embedding-4B,,,,,0.0,,5
qwen3:8b,infly/inf-retriever-v1-1.5b,0.4,0.8,0.75,,22.181441688537596,503.0,5
qwen3:8b,sentence-transformers/all-MiniLM-L6-v2,0.6,1.0,0.75,,16.598780632019043,415.0,5
qwen3:8b,sentence-transformers/all-roberta-large-v1,0.4,0.8,0.755,,19.98982467651367,693.6,5
qwen3:8b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.4,0.8,0.725,,21.932323837280272,461.8,5
